Identifier,Label,Status,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped status,Mapped type,IsLive,IsMappedLive
42,Administration and Government,Live,,2013-04-03,2013-04-03,,Function,,,,,,,,,,1,0
44,Asylum and immigration,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,650,Accommodation certificates,Live,Service,1,1
44,Asylum and immigration,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,77,Asylum seekers and refugee support,Live,Service,1,1
44,Asylum and immigration,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,852,Citizenship ceremonies,Live,Service,1,1
44,Asylum and immigration,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,915,Nationality checking,Live,Service,1,1
46,Communications and publicity,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,853,Accessibility of Web sites,Live,Service,1,1
46,Communications and publicity,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1555,Civic events,Live,Service,1,1
46,Communications and publicity,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1412,Community noticeboards,Live,Service,1,1
46,Communications and publicity,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,822,Media and publicity protocols,Live,Service,1,1
46,Communications and publicity,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,359,News and information releases,Live,Service,1,1
46,Communications and publicity,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,659,Publications,Live,Service,1,1
47,Complaints and compliments,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,370,Change of circumstances,Live,Service,1,1
47,Complaints and compliments,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,645,Complaints advocacy,Live,Service,1,1
47,Complaints and compliments,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,353,Complaints procedure,Live,Service,1,1
47,Complaints and compliments,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1536,Customer feedback and suggestions,Live,Service,1,1
47,Complaints and compliments,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,653,Customer satisfaction surveys,Live,Service,1,1
48,Consultations,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,366,Community engagement,Live,Service,1,1
48,Consultations,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1306,Petitions,Live,Service,1,1
48,Consultations,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,867,Service delivery consultation,Live,Service,1,1
48,Consultations,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,658,Spending plans consultation,Live,Service,1,1
49,Data protection and freedom of information,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,826,Data Protection,Live,Service,1,1
49,Data protection and freedom of information,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,722,Freedom of Information,Live,Service,1,1
49,Data protection and freedom of information,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1088,Re-use of public sector information,Live,Service,1,1
53,Policy and performance,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,720,Community strategy,Live,Service,1,1
53,Policy and performance,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1465,Council  expenditure,Live,Service,1,1
53,Policy and performance,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1574,Councillors allowances and expenses,Live,Service,1,1
53,Policy and performance,Live,,2013-04-03,2013-04-03,,Function,42,Administration and Government,Administration and Government,,contains,1702,Members and officers code of conduct,Live,Service,1,1
